person,personLabel,birthCity,birthCityLabel,birthCountryLabel,university,universityLabel,yearFounded,universityCity,universityCityLabel,universityCountryLabel,employer,employerLabel,employerCity,employerCityLabel,employerCountryLabel
http://www.wikidata.org/entity/Q47255596,Anders Blomqvist,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q782600,Linköping University,,,
http://www.wikidata.org/entity/Q102257167,Anders Blomqvist,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q182050,Anders Borg,http://www.wikidata.org/entity/Q10669803,Skarpnäcks församling,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q182050,Anders Borg,http://www.wikidata.org/entity/Q10669803,Skarpnäcks församling,Sweden,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q103255069,Anders Borglin,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q91996975,Anders Brantnell,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q40736667,Anders Bremer,,,,http://www.wikidata.org/entity/Q1751928,Linnaeus University,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26345,Kalmar,Sweden,http://www.wikidata.org/entity/Q1622088,University of Borås,,,
http://www.wikidata.org/entity/Q40736667,Anders Bremer,,,,http://www.wikidata.org/entity/Q1751928,Linnaeus University,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26152,Växjö,Sweden,http://www.wikidata.org/entity/Q1622088,University of Borås,,,
http://www.wikidata.org/entity/Q40736667,Anders Bremer,,,,http://www.wikidata.org/entity/Q1751928,Linnaeus University,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26345,Kalmar,Sweden,http://www.wikidata.org/entity/Q1751928,Linnaeus University,,,
http://www.wikidata.org/entity/Q40736667,Anders Bremer,,,,http://www.wikidata.org/entity/Q1751928,Linnaeus University,2010-01-01T00:00:00Z,http://www.wikidata.org/entity/Q26152,Växjö,Sweden,http://www.wikidata.org/entity/Q1751928,Linnaeus University,,,
http://www.wikidata.org/entity/Q96096335,Anders Broberg,,,,http://www.wikidata.org/entity/Q1312762,Swedish University of Agricultural Sciences,1977-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q1312762,Swedish University of Agricultural Sciences,,,
http://www.wikidata.org/entity/Q56415950,Anders Broström,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,http://www.wikidata.org/entity/Q10441282,Q10441282,Sweden
http://www.wikidata.org/entity/Q5590311,Anders Burius,http://www.wikidata.org/entity/Q26498,Eskilstuna,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q953058,National Library of Sweden,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden
http://www.wikidata.org/entity/Q5565531,Anders Bárány,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden
http://www.wikidata.org/entity/Q5565531,Anders Bárány,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q221645,Stockholm University,,,
http://www.wikidata.org/entity/Q81130,Anders Celsius,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden
http://www.wikidata.org/entity/Q79978358,Anders Christensson,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q102254012,Anders Christian Dahlner,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q490870,Anders Chydenius,http://www.wikidata.org/entity/Q738472,Sotkamo,Finland,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q414481,Royal Academy of Turku,,,
http://www.wikidata.org/entity/Q496775,Anders Dahl,http://www.wikidata.org/entity/Q531376,Varnhem,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q28695,University of Helsinki,http://www.wikidata.org/entity/Q1393776,University of Helsinki main building,Finland
http://www.wikidata.org/entity/Q4753758,Anders Dahlvig,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q27299904,Anders Dalborg,http://www.wikidata.org/entity/Q10477573,Dunkers parish,Sweden,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q5616730,Anders Danielson,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q102352089,Anders Dessmark,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q78737474,Anders E Boström,,,,http://www.wikidata.org/entity/Q836805,Chalmers University of Technology,1829-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25287,Gothenburg,Sweden,http://www.wikidata.org/entity/Q836805,Chalmers University of Technology,http://www.wikidata.org/entity/Q25287,Gothenburg,Sweden
http://www.wikidata.org/entity/Q29057319,Anders Edblad,http://www.wikidata.org/entity/Q26476,Sundsvall,Sweden,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q102366929,Anders Edquist,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q490882,Anders Ehnmark,http://www.wikidata.org/entity/Q25413,Linköping,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q23915002,Anders Eka,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q56229906,Anders Ekbom,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q219564,Karolinska Institute,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden
http://www.wikidata.org/entity/Q96761518,Anders Ekholm,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q2611987,Ministry of Health and Social Affairs,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden
http://www.wikidata.org/entity/Q96761518,Anders Ekholm,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q7654780,National Financial Management Authority,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden
http://www.wikidata.org/entity/Q96761518,Anders Ekholm,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q10536077,Institute for Futures Studies,,,
http://www.wikidata.org/entity/Q89669832,Anders Eklund,,,,http://www.wikidata.org/entity/Q219564,Karolinska Institute,1810-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q219564,Karolinska Institute,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden
http://www.wikidata.org/entity/Q38084725,Anders Eklund,,,,http://www.wikidata.org/entity/Q1144565,Umeå University,1965-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25579,Umeå,Sweden,http://www.wikidata.org/entity/Q1144565,Umeå University,http://www.wikidata.org/entity/Q25579,Umeå,Sweden
http://www.wikidata.org/entity/Q38084995,Anders Eklund,,,,http://www.wikidata.org/entity/Q219564,Karolinska Institute,1810-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q5710124,Anders Elofson,,,,http://www.wikidata.org/entity/Q1312762,Swedish University of Agricultural Sciences,1977-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q5711483,Anders Enemar,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,http://www.wikidata.org/entity/Q371522,University of Gothenburg,http://www.wikidata.org/entity/Q25287,Gothenburg,Sweden
http://www.wikidata.org/entity/Q90172751,Anders Enocson,,,,http://www.wikidata.org/entity/Q219564,Karolinska Institute,1810-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q219564,Karolinska Institute,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden
http://www.wikidata.org/entity/Q90172751,Anders Enocson,,,,http://www.wikidata.org/entity/Q219564,Karolinska Institute,1810-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q1734280,Karolinska University Hospital,,,
http://www.wikidata.org/entity/Q102305009,Anders Erik Ahlgren (formerly Andersson),,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q5715976,Anders Eriksson,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,http://www.wikidata.org/entity/Q10441282,Q10441282,Sweden
http://www.wikidata.org/entity/Q58483442,Anders Eriksson,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,http://www.wikidata.org/entity/Q4356777,Swedish Institute of Space Physics,,,
http://www.wikidata.org/entity/Q102284913,Anders Eriksson,,,,http://www.wikidata.org/entity/Q221645,Stockholm University,1878-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q102343626,Anders Eriksson,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q102408174,Anders Eriksson,,,,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
http://www.wikidata.org/entity/Q5945010,Anders Eriksson Leijonhielm,,,,http://www.wikidata.org/entity/Q218506,Lund University,1666-12-19T00:00:00Z,http://www.wikidata.org/entity/Q2167,Lund,Sweden,,,,,
http://www.wikidata.org/entity/Q45866509,Anders Fasth,,,,http://www.wikidata.org/entity/Q371522,University of Gothenburg,1954-07-01T00:00:00Z,http://www.wikidata.org/entity/Q25287,Gothenburg,Sweden,,,,,
http://www.wikidata.org/entity/Q4753774,Anders Flanking,http://www.wikidata.org/entity/Q21166,Skövde,Sweden,http://www.wikidata.org/entity/Q371522,University of Gothenburg,1954-07-01T00:00:00Z,http://www.wikidata.org/entity/Q25287,Gothenburg,Sweden,,,,,
http://www.wikidata.org/entity/Q5858221,Anders Flodin,,,,http://www.wikidata.org/entity/Q2002420,Örebro University,1977-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25732,Örebro,Sweden,http://www.wikidata.org/entity/Q2002420,Örebro University,,,
http://www.wikidata.org/entity/Q102143447,Anders Forsgren,,,,http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,1827-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1754,Stockholm,Sweden,,,,,
http://www.wikidata.org/entity/Q5737742,Anders Forssenius,http://www.wikidata.org/entity/Q10498124,Forshems socken,Sweden,http://www.wikidata.org/entity/Q185246,Uppsala University,1477-01-01T00:00:00Z,http://www.wikidata.org/entity/Q25286,Uppsala,Sweden,,,,,
